payment_id,amount,retry_count,successful_payments,failed_payments,lifetime_value,subscription_active,previous_failures,failure_reason,recovered
pay_test_51,46330,2,7,3,7203,0,3,expired_card,0
pay_test_52,9599,2,11,10,134537,1,5,bank_error,0
pay_test_53,4117,0,8,2,153198,1,0,insufficient_funds,1
pay_test_54,57459,2,10,6,159914,0,3,bank_error,0
pay_test_55,33886,0,13,0,137293,0,2,network_error,1
pay_test_56,87562,2,19,5,174903,0,5,expired_card,0
pay_test_57,41038,5,13,5,106486,1,4,card_declined,0
pay_test_58,55608,5,12,10,197118,0,4,bank_error,0
pay_test_59,53725,4,0,4,76212,0,3,bank_error,0
pay_test_60,86313,2,14,7,116909,0,4,network_error,0
pay_test_61,86856,0,9,8,175025,1,0,card_declined,1
pay_test_62,29944,1,4,0,13114,0,3,bank_error,0
pay_test_63,60192,3,20,9,51970,1,3,network_error,1
pay_test_64,19842,5,0,1,112449,0,1,bank_error,0
pay_test_65,7082,4,7,1,120658,0,3,bank_error,0
pay_test_66,78547,2,14,9,189553,1,4,network_error,0
pay_test_67,97972,3,14,4,198073,0,5,expired_card,0
pay_test_68,64017,5,7,4,116309,0,5,expired_card,0
pay_test_69,36114,2,10,8,22122,0,1,card_declined,0
pay_test_70,91457,1,6,1,109755,1,2,bank_error,1
pay_test_71,54996,0,6,6,103099,0,4,network_error,1
pay_test_72,1272,2,9,6,110843,0,3,card_declined,0
pay_test_73,57625,3,0,6,89114,1,5,card_declined,0
pay_test_74,17228,4,17,0,104290,0,0,network_error,0
pay_test_75,61015,1,1,4,100379,1,1,network_error,1
pay_test_76,44736,3,8,6,67131,0,3,insufficient_funds,1
pay_test_77,7326,2,7,10,18987,0,0,card_declined,0
pay_test_78,3171,4,4,3,34088,1,5,insufficient_funds,0
pay_test_79,29069,3,8,5,44984,0,1,expired_card,0
pay_test_80,76349,0,9,9,178562,1,3,card_declined,1
pay_test_81,78107,5,20,3,27712,1,5,bank_error,0
pay_test_82,74677,0,11,8,113296,1,0,bank_error,1
pay_test_83,45225,0,13,7,28666,1,2,network_error,1
pay_test_84,57580,1,16,10,71800,1,3,network_error,1
pay_test_85,35679,2,7,1,74119,1,1,network_error,1
pay_test_86,80497,5,12,5,8523,1,2,card_declined,0
pay_test_87,28302,2,8,5,74310,1,4,insufficient_funds,1
pay_test_88,25542,0,7,6,129077,0,5,network_error,1
pay_test_89,93802,3,14,0,25393,1,1,network_error,1
pay_test_90,40635,5,18,5,125062,1,3,bank_error,0
pay_test_91,46612,5,14,4,81379,1,1,insufficient_funds,1
pay_test_92,41859,0,17,2,51211,0,5,network_error,1
pay_test_93,95472,4,16,9,75186,0,1,expired_card,0
pay_test_94,47801,1,9,0,186602,0,2,insufficient_funds,1
pay_test_95,73029,2,4,10,198339,1,0,insufficient_funds,1
pay_test_96,37768,3,15,7,90314,0,0,expired_card,0
pay_test_97,15453,0,12,7,20420,0,1,card_declined,0
pay_test_98,40324,0,7,1,147295,1,4,bank_error,1
pay_test_99,30081,4,12,7,117056,1,4,network_error,0
pay_test_100,75031,4,1,9,195009,0,1,card_declined,0
pay_test_101,87063,0,5,3,46564,0,1,insufficient_funds,0
pay_test_102,59548,5,19,7,77351,0,1,expired_card,0
pay_test_103,92641,3,2,10,62190,1,5,bank_error,0
pay_test_104,56223,0,17,3,170773,0,2,card_declined,0
pay_test_105,8316,1,9,9,197334,1,3,insufficient_funds,1
pay_test_106,90766,2,12,4,132195,1,3,insufficient_funds,1
pay_test_107,5724,3,10,9,66632,0,0,card_declined,0
pay_test_108,77455,0,8,9,11546,0,3,bank_error,0
pay_test_109,58463,2,5,9,115264,1,0,network_error,1
pay_test_110,54023,2,10,10,28420,0,2,network_error,0
pay_test_111,38277,5,12,8,10619,1,0,expired_card,0
pay_test_112,42872,0,12,8,1301,1,3,insufficient_funds,1
pay_test_113,68452,2,19,7,164947,1,0,card_declined,0
pay_test_114,72487,1,9,7,184042,1,0,insufficient_funds,1
pay_test_115,80306,1,5,4,145399,0,4,network_error,0
pay_test_116,29951,0,14,1,170793,0,3,expired_card,1
pay_test_117,92959,2,13,7,124789,0,3,bank_error,0
pay_test_118,50777,1,19,8,196636,0,0,expired_card,0
pay_test_119,45048,4,8,0,75144,1,4,bank_error,1
pay_test_120,19976,3,17,7,91472,1,4,bank_error,0
pay_test_121,60182,2,6,3,150893,1,1,network_error,1
pay_test_122,42204,5,15,6,102208,0,3,insufficient_funds,0
pay_test_123,66336,4,10,1,116423,0,4,network_error,0
pay_test_124,95192,1,13,10,41464,0,3,expired_card,0
pay_test_125,82191,5,12,10,22054,1,5,bank_error,0
pay_test_126,42005,5,15,8,10410,0,1,expired_card,0
pay_test_127,98380,0,13,1,167133,0,3,card_declined,1
pay_test_128,4294,0,10,0,77904,1,2,network_error,1
pay_test_129,32507,4,13,9,179729,0,1,card_declined,0
pay_test_130,80387,3,19,10,64132,1,4,card_declined,0
pay_test_131,60943,5,8,7,67932,0,3,expired_card,0
pay_test_132,21206,0,14,5,155028,1,5,network_error,1
pay_test_133,60378,2,6,6,127670,0,1,network_error,1
pay_test_134,47549,4,9,4,6751,1,2,insufficient_funds,0
pay_test_135,90389,5,1,9,196342,1,2,card_declined,0
pay_test_136,46679,1,20,3,163762,1,5,card_declined,1
pay_test_137,13235,5,20,0,81984,1,0,bank_error,1
pay_test_138,96491,1,2,4,86647,1,1,card_declined,0
pay_test_139,71201,2,16,8,72441,0,2,network_error,0
pay_test_140,98353,2,3,7,20739,0,1,network_error,0
pay_test_141,48442,0,12,0,70326,0,3,expired_card,1
pay_test_142,77119,3,20,5,29402,0,3,insufficient_funds,0
pay_test_143,74084,2,19,3,170778,0,5,network_error,0
pay_test_144,85597,3,3,2,12887,0,2,network_error,0
pay_test_145,13239,1,17,2,102881,1,2,bank_error,1
pay_test_146,77483,5,4,6,172683,0,3,bank_error,0
pay_test_147,37166,0,11,3,117230,1,1,expired_card,1
pay_test_148,90373,2,17,10,95024,0,3,expired_card,0
pay_test_149,16511,3,2,10,56602,0,0,expired_card,0
pay_test_150,17005,4,6,1,146282,0,4,card_declined,0
pay_test_151,43564,1,19,0,73685,0,1,bank_error,1
pay_test_152,23371,0,0,2,4895,1,1,bank_error,1
pay_test_153,2568,1,8,0,34228,1,4,insufficient_funds,1
pay_test_154,62922,3,11,8,156625,0,3,bank_error,0
pay_test_155,81123,0,16,4,121073,0,0,network_error,1
pay_test_156,56372,5,3,7,187751,1,0,insufficient_funds,0
pay_test_157,80230,1,2,2,73093,1,3,bank_error,1
pay_test_158,39152,3,16,9,113774,0,5,insufficient_funds,0
pay_test_159,85816,4,6,6,119372,0,3,expired_card,0
pay_test_160,52762,3,3,5,112873,1,5,expired_card,0
pay_test_161,20506,5,15,1,24914,0,0,network_error,0
pay_test_162,98094,5,11,2,146849,0,4,bank_error,0
pay_test_163,43707,5,3,6,93693,1,5,insufficient_funds,0
pay_test_164,79196,2,11,1,152497,0,1,network_error,1
pay_test_165,14684,2,17,5,31116,1,4,card_declined,0
pay_test_166,74026,4,19,10,169479,0,4,expired_card,0
pay_test_167,24147,2,9,5,93018,0,1,card_declined,0
pay_test_168,86659,3,2,2,195240,0,0,bank_error,0
pay_test_169,49808,3,14,5,42263,1,2,expired_card,1
pay_test_170,78648,0,1,2,42264,0,5,insufficient_funds,0
pay_test_171,58579,5,13,7,160141,1,3,expired_card,0
pay_test_172,99451,4,3,5,113699,0,2,bank_error,0
pay_test_173,69566,5,9,0,58807,1,4,insufficient_funds,0
pay_test_174,27294,2,6,2,67982,1,2,insufficient_funds,1
pay_test_175,65693,5,13,2,34865,1,4,card_declined,0
pay_test_176,73733,5,11,1,105089,0,3,insufficient_funds,1
pay_test_177,10705,2,18,6,151313,1,5,network_error,1
pay_test_178,15596,3,0,5,46055,1,5,expired_card,0
pay_test_179,57740,0,7,6,155369,1,4,insufficient_funds,1
pay_test_180,41168,5,10,3,88311,0,0,bank_error,0
pay_test_181,15445,4,16,3,92586,1,5,card_declined,0
pay_test_182,13974,1,8,3,46481,0,5,insufficient_funds,0
pay_test_183,82806,3,14,9,152904,1,5,bank_error,0
pay_test_184,83769,4,10,10,83873,0,3,insufficient_funds,0
pay_test_185,58461,5,9,4,156037,0,2,bank_error,0
pay_test_186,41185,3,14,0,15913,1,2,insufficient_funds,1
pay_test_187,12335,4,19,8,101789,1,4,bank_error,0
pay_test_188,59447,4,20,3,85286,1,4,card_declined,0
pay_test_189,59550,0,10,1,133264,0,0,card_declined,1
pay_test_190,58095,4,16,9,42614,1,2,expired_card,0
pay_test_191,54078,2,19,0,166383,1,0,expired_card,1
pay_test_192,73633,5,12,4,67059,0,2,insufficient_funds,0
pay_test_193,87480,1,11,4,172980,1,1,bank_error,1
pay_test_194,41077,4,12,10,87108,0,5,bank_error,0
pay_test_195,85175,5,13,8,95851,0,2,expired_card,0
pay_test_196,28574,2,15,3,60386,0,1,insufficient_funds,1
pay_test_197,13756,4,17,8,10895,1,4,card_declined,0
pay_test_198,49877,1,5,2,182625,0,5,network_error,0
pay_test_199,54352,2,7,7,161063,1,5,network_error,0
pay_test_200,70493,1,9,7,51860,1,5,bank_error,0
pay_test_201,61013,2,12,8,139270,1,1,card_declined,1
pay_test_202,18640,2,1,10,126983,1,4,insufficient_funds,0
pay_test_203,16841,2,2,2,72510,1,4,card_declined,0
pay_test_204,12521,1,14,5,7991,1,0,network_error,1
pay_test_205,49515,1,12,1,99281,0,0,expired_card,0
pay_test_206,94177,5,10,2,37070,0,2,network_error,0
pay_test_207,99962,5,15,7,162309,0,0,insufficient_funds,0
pay_test_208,28766,1,17,9,139352,1,0,expired_card,0
pay_test_209,39972,0,1,3,111054,1,0,insufficient_funds,1
pay_test_210,78715,4,0,10,136102,0,5,card_declined,0
pay_test_211,56761,0,19,5,64062,1,1,insufficient_funds,1
pay_test_212,47765,0,16,8,133992,0,3,network_error,0
pay_test_213,83818,3,11,4,196904,0,2,insufficient_funds,1
pay_test_214,32104,5,20,1,153542,1,1,insufficient_funds,1
pay_test_215,72067,2,20,2,180485,1,5,network_error,1
pay_test_216,24391,1,2,7,10695,1,1,insufficient_funds,0
pay_test_217,5992,2,9,8,105392,1,2,insufficient_funds,1
pay_test_218,25548,2,11,0,172896,1,2,insufficient_funds,1
pay_test_219,57772,3,14,6,89876,0,3,network_error,1
pay_test_220,68562,2,2,6,21690,1,4,card_declined,0
pay_test_221,39004,2,3,1,86962,1,2,network_error,1
pay_test_222,94565,3,5,7,93155,1,0,expired_card,0
pay_test_223,57508,2,20,0,20671,1,2,bank_error,1
pay_test_224,4581,1,19,10,115864,0,1,insufficient_funds,0
pay_test_225,85062,2,11,6,149699,0,4,card_declined,0
pay_test_226,49123,2,14,1,151450,0,4,expired_card,0
pay_test_227,41707,5,8,3,30739,0,5,card_declined,0
pay_test_228,68361,3,17,1,69623,1,5,network_error,1
pay_test_229,80699,2,15,3,33148,0,0,network_error,0
pay_test_230,94002,3,2,10,84778,1,5,insufficient_funds,0
pay_test_231,71563,2,9,2,187596,0,2,bank_error,1
pay_test_232,16407,1,4,3,130504,0,2,bank_error,0
pay_test_233,48853,3,17,2,161418,0,0,expired_card,1
pay_test_234,94469,5,15,8,108687,1,4,insufficient_funds,0
pay_test_235,42053,5,2,7,123115,1,1,bank_error,0
pay_test_236,77542,1,4,6,132822,0,0,bank_error,0
pay_test_237,40362,1,5,5,186947,0,2,bank_error,0
pay_test_238,10836,2,6,10,145399,1,1,expired_card,0
pay_test_239,70424,0,16,10,45206,0,1,bank_error,0
pay_test_240,44752,4,1,0,22292,0,5,bank_error,0
pay_test_241,85844,1,18,6,163033,0,3,bank_error,0
pay_test_242,84636,2,15,3,180566,1,2,network_error,1
pay_test_243,90757,0,5,7,109952,1,3,card_declined,1
pay_test_244,80016,1,10,5,193466,1,3,card_declined,1
pay_test_245,67999,4,3,5,64370,1,0,expired_card,0
pay_test_246,32995,1,3,0,77077,1,4,network_error,0
pay_test_247,21432,2,18,5,50763,0,3,bank_error,0
pay_test_248,65873,2,15,0,24605,1,4,network_error,1
pay_test_249,28699,4,11,0,14248,1,3,bank_error,1
pay_test_250,88648,3,9,8,3143,0,3,card_declined,0
pay_test_251,95855,2,12,5,12860,1,0,bank_error,1
pay_test_252,26013,2,17,4,20275,1,4,network_error,1
pay_test_253,37163,4,19,1,34728,0,3,expired_card,0
pay_test_254,73616,2,4,3,158932,1,4,insufficient_funds,0
pay_test_255,5600,1,10,7,137139,1,1,bank_error,1
pay_test_256,18821,2,19,5,43598,1,4,expired_card,0
pay_test_257,44589,4,16,8,129410,1,3,insufficient_funds,0
pay_test_258,43916,5,3,6,154014,1,5,insufficient_funds,0
pay_test_259,62705,2,20,9,152423,0,5,insufficient_funds,0
pay_test_260,63473,1,16,10,190053,1,1,card_declined,0
pay_test_261,75547,5,3,3,5964,1,2,network_error,0
pay_test_262,54627,5,6,6,132548,1,5,insufficient_funds,0
pay_test_263,68484,1,17,5,174598,1,4,network_error,1
pay_test_264,23199,3,17,5,144202,1,5,expired_card,1
pay_test_265,63962,1,7,4,147299,1,1,expired_card,0
pay_test_266,92892,1,15,5,126777,1,4,expired_card,0
pay_test_267,16474,4,17,6,104424,1,1,expired_card,0
pay_test_268,38200,5,2,5,116966,1,5,network_error,0
pay_test_269,26985,4,8,8,183497,1,1,insufficient_funds,0
pay_test_270,97610,4,7,3,14307,0,5,card_declined,0
pay_test_271,13633,3,10,7,27357,0,0,bank_error,0
pay_test_272,53834,5,15,7,171534,0,2,expired_card,0
pay_test_273,85159,0,2,10,151505,0,4,insufficient_funds,0
pay_test_274,55273,1,1,6,130861,0,5,expired_card,0
pay_test_275,1714,2,18,9,29128,1,2,network_error,1
pay_test_276,71711,4,15,2,133176,1,2,card_declined,0
pay_test_277,43843,1,14,10,68440,0,0,expired_card,0
pay_test_278,74920,5,6,2,161158,1,3,bank_error,1
pay_test_279,11868,3,3,2,37860,1,2,card_declined,0
pay_test_280,34681,3,7,7,198592,1,2,expired_card,0
pay_test_281,95249,4,0,4,172359,1,5,card_declined,0
pay_test_282,88028,0,14,4,42868,1,5,bank_error,0
pay_test_283,90977,0,20,4,97349,0,1,card_declined,1
pay_test_284,20578,3,19,5,110011,1,4,card_declined,0
pay_test_285,89673,4,2,8,118112,1,0,bank_error,0
pay_test_286,8594,4,16,3,151130,0,1,expired_card,0
pay_test_287,58412,0,6,9,129143,0,4,network_error,0
pay_test_288,59932,1,16,6,120746,0,4,network_error,0
pay_test_289,95301,0,12,4,1790,0,4,insufficient_funds,0
pay_test_290,56034,2,2,8,16795,0,3,insufficient_funds,0
pay_test_291,54091,1,4,10,192178,1,2,network_error,1
pay_test_292,49979,3,2,10,174484,0,5,expired_card,0
pay_test_293,23892,4,12,8,34383,0,0,insufficient_funds,0
pay_test_294,61186,5,17,6,140443,1,1,card_declined,0
pay_test_295,45871,1,8,3,191060,0,0,network_error,1
pay_test_296,2550,1,6,1,27449,0,3,bank_error,0
pay_test_297,32577,5,1,6,116071,0,4,card_declined,0
pay_test_298,18867,4,9,3,192762,1,4,bank_error,0
pay_test_299,31551,2,4,10,137642,0,3,expired_card,0
pay_test_300,8489,4,18,2,165100,1,4,network_error,0
pay_test_301,45643,5,12,8,84554,1,3,card_declined,0
pay_test_302,49843,1,17,7,64168,0,2,card_declined,0
pay_test_303,8052,4,13,6,147089,0,3,card_declined,0
pay_test_304,27151,2,20,1,118908,1,0,bank_error,1
pay_test_305,7255,2,12,10,159589,0,0,card_declined,0
pay_test_306,95436,5,17,3,126670,0,2,expired_card,0
pay_test_307,28262,1,3,7,64594,0,3,card_declined,0
pay_test_308,42654,2,12,7,140893,1,2,expired_card,0
pay_test_309,67715,3,14,1,190376,1,2,card_declined,1
pay_test_310,41515,3,1,9,59005,0,0,expired_card,0
pay_test_311,77050,4,13,4,40953,0,2,card_declined,0
pay_test_312,75183,1,15,8,172601,1,2,network_error,1
pay_test_313,97440,3,14,2,193091,1,1,card_declined,1
pay_test_314,64504,1,17,10,16396,0,0,insufficient_funds,0
pay_test_315,54553,1,20,3,18817,0,0,card_declined,0
pay_test_316,60270,2,1,9,168176,1,5,network_error,0
pay_test_317,1366,4,17,6,4106,0,4,expired_card,0
pay_test_318,38076,0,16,10,113872,0,0,insufficient_funds,1
pay_test_319,20016,1,6,9,139007,1,2,expired_card,0
pay_test_320,10857,2,12,7,149111,0,5,card_declined,0
pay_test_321,90158,0,20,10,9305,0,3,network_error,0
pay_test_322,72943,3,1,10,3477,0,0,network_error,0
pay_test_323,85029,2,18,1,139453,0,1,card_declined,1
pay_test_324,62824,2,1,1,180418,1,4,bank_error,0
pay_test_325,24008,2,0,3,154887,0,5,network_error,0
pay_test_326,39726,1,18,3,149555,1,5,bank_error,1
pay_test_327,50811,5,4,1,132279,1,0,insufficient_funds,1
pay_test_328,30927,0,10,9,161921,1,2,insufficient_funds,1
pay_test_329,36325,3,15,3,94273,1,3,card_declined,1
pay_test_330,87095,3,2,9,78431,0,5,insufficient_funds,0
pay_test_331,35623,1,12,10,41442,1,2,expired_card,0
pay_test_332,12495,0,9,7,95350,1,0,card_declined,1
pay_test_333,25061,3,14,8,146421,1,0,insufficient_funds,1
pay_test_334,46888,4,2,9,157773,1,3,insufficient_funds,0
pay_test_335,54738,3,2,8,64633,0,5,network_error,0
pay_test_336,18698,2,9,4,130269,0,0,card_declined,0
pay_test_337,36670,3,9,7,21164,1,2,card_declined,0
pay_test_338,65485,4,19,3,121025,0,1,expired_card,0
pay_test_339,52364,2,19,6,87387,1,2,network_error,1
pay_test_340,78408,1,9,5,159128,0,3,expired_card,0
pay_test_341,52698,2,9,10,129714,0,2,network_error,0
pay_test_342,52002,2,3,9,53376,0,5,bank_error,0
pay_test_343,95817,3,6,7,77370,0,3,network_error,0
pay_test_344,83512,2,7,4,173664,0,5,network_error,0
pay_test_345,10194,3,19,7,153631,1,4,bank_error,0
pay_test_346,71756,0,11,8,156666,0,0,card_declined,0
pay_test_347,22302,5,19,0,148644,1,2,network_error,1
pay_test_348,1882,0,8,3,134870,0,3,expired_card,1
pay_test_349,61194,5,18,8,40516,1,0,network_error,0
pay_test_350,39222,3,2,1,192404,0,2,expired_card,0
pay_test_351,60181,1,16,7,92304,1,0,network_error,1
pay_test_352,42300,0,9,0,187326,0,0,expired_card,1
pay_test_353,14834,5,5,3,136264,0,4,card_declined,0
pay_test_354,73880,3,14,3,107180,0,1,network_error,1
pay_test_355,4326,5,19,3,118853,1,3,insufficient_funds,1
pay_test_356,27472,2,2,9,27673,0,2,expired_card,0
pay_test_357,60472,0,8,10,129315,1,4,network_error,1
pay_test_358,51951,4,3,5,93270,1,4,card_declined,0
pay_test_359,81041,4,2,10,36113,1,0,card_declined,0
pay_test_360,15828,1,11,2,134909,1,3,bank_error,1
pay_test_361,75840,3,13,2,128577,0,4,card_declined,0
pay_test_362,38358,1,5,5,119227,0,2,insufficient_funds,1
pay_test_363,18395,1,12,8,133497,1,3,network_error,1
pay_test_364,93579,3,15,2,22671,0,1,expired_card,0
pay_test_365,36525,1,17,4,45094,1,4,network_error,1
pay_test_366,67452,0,18,1,71225,1,4,insufficient_funds,1
pay_test_367,72111,1,13,1,193935,0,2,insufficient_funds,1
pay_test_368,34947,2,2,7,31772,0,1,bank_error,0
pay_test_369,93659,4,20,6,44511,0,1,card_declined,0
pay_test_370,75220,2,17,4,157462,0,2,expired_card,0
pay_test_371,75569,2,16,10,25962,0,3,insufficient_funds,0
pay_test_372,86469,1,4,3,39336,1,1,network_error,1
pay_test_373,19134,4,20,4,165577,1,3,network_error,0
pay_test_374,83550,0,12,8,197556,1,5,expired_card,0
pay_test_375,64468,2,18,0,193079,0,5,network_error,1
pay_test_376,87550,5,11,1,141096,1,1,network_error,1
pay_test_377,65343,2,10,4,89540,0,4,network_error,0
pay_test_378,89963,0,1,1,165149,1,0,insufficient_funds,1
pay_test_379,58340,3,0,6,54036,0,5,expired_card,0
pay_test_380,36416,0,20,5,66638,0,2,card_declined,0
pay_test_381,52449,5,9,3,113520,0,5,insufficient_funds,0
pay_test_382,28473,3,2,2,156629,0,4,network_error,0
pay_test_383,1556,5,10,1,111707,0,3,insufficient_funds,0
pay_test_384,50709,0,3,1,83143,1,2,card_declined,1
pay_test_385,99217,1,20,10,38448,0,4,bank_error,0
pay_test_386,80495,5,5,7,93061,0,5,card_declined,0
pay_test_387,81250,5,14,3,23724,0,1,insufficient_funds,0
pay_test_388,96183,3,11,6,83445,0,1,expired_card,1
pay_test_389,11542,1,17,9,158288,1,5,insufficient_funds,0
pay_test_390,27428,4,19,8,50452,1,2,insufficient_funds,0
pay_test_391,65365,3,3,3,131962,0,4,insufficient_funds,0
pay_test_392,41980,1,12,9,111326,1,4,card_declined,0
pay_test_393,10067,0,18,1,4615,1,1,insufficient_funds,1
pay_test_394,52663,4,9,10,187811,1,3,network_error,0
pay_test_395,84456,4,17,9,41024,1,0,expired_card,0
pay_test_396,67517,1,4,8,86655,1,4,insufficient_funds,0
pay_test_397,92076,3,7,0,65088,0,3,insufficient_funds,1
pay_test_398,80754,4,1,4,175608,0,0,insufficient_funds,0
pay_test_399,92446,0,5,7,91886,1,1,expired_card,0
pay_test_400,98774,2,3,0,88821,1,2,bank_error,0
pay_test_401,34965,5,18,10,21203,1,3,bank_error,0
pay_test_402,7766,3,18,2,97387,0,2,insufficient_funds,1
pay_test_403,88858,5,3,3,195191,0,0,insufficient_funds,0
pay_test_404,6526,3,11,6,40343,0,0,bank_error,0
pay_test_405,55467,1,10,3,110119,1,2,insufficient_funds,1
pay_test_406,49364,0,16,10,14807,0,1,bank_error,0
pay_test_407,53050,0,14,4,82447,1,0,bank_error,1
pay_test_408,1544,2,6,4,148798,1,5,bank_error,0
pay_test_409,61307,2,18,7,52228,0,1,insufficient_funds,0
pay_test_410,3633,1,17,5,167708,0,2,insufficient_funds,1
pay_test_411,97241,5,9,1,54790,0,3,network_error,0
pay_test_412,19161,5,8,1,12508,0,4,network_error,0
pay_test_413,60591,5,2,9,26054,0,5,network_error,0
pay_test_414,78080,4,1,6,174655,0,1,expired_card,0
pay_test_415,41788,3,10,5,119687,1,1,insufficient_funds,1
pay_test_416,18340,4,3,2,28697,0,3,network_error,0
pay_test_417,53782,0,17,5,55430,1,2,network_error,1
pay_test_418,16217,0,5,10,80748,0,1,expired_card,0
pay_test_419,12455,5,7,5,104873,0,5,expired_card,0
pay_test_420,23289,0,12,7,146739,0,0,network_error,0
pay_test_421,18822,0,0,0,59271,0,1,network_error,1
pay_test_422,90452,5,20,1,153652,1,0,insufficient_funds,1
pay_test_423,26419,5,14,2,25111,1,0,insufficient_funds,1
pay_test_424,7137,1,18,6,190905,1,3,insufficient_funds,1
pay_test_425,90050,3,5,5,57286,0,2,expired_card,0
pay_test_426,19981,0,19,9,162736,0,5,expired_card,0
pay_test_427,54500,4,15,0,23995,1,3,card_declined,0
pay_test_428,26643,5,16,3,166348,0,3,expired_card,0
pay_test_429,71871,3,11,9,132699,1,3,expired_card,0
pay_test_430,3916,2,19,3,8681,1,0,network_error,1
pay_test_431,47349,4,7,2,27249,0,5,card_declined,0
pay_test_432,70451,5,1,3,151914,1,2,card_declined,0
pay_test_433,31505,4,10,5,156074,0,5,expired_card,0
pay_test_434,74373,1,18,3,130034,1,1,network_error,1
pay_test_435,12330,0,7,9,58359,0,4,network_error,0
pay_test_436,43981,4,6,2,90327,0,2,insufficient_funds,0
pay_test_437,19860,4,4,1,138965,1,0,expired_card,0
pay_test_438,77310,0,10,4,85568,0,1,network_error,1
pay_test_439,64358,5,10,2,186383,1,1,bank_error,1
pay_test_440,50095,2,9,2,47585,0,5,bank_error,0
pay_test_441,74881,0,5,9,84418,0,5,bank_error,0
pay_test_442,65535,1,10,1,63389,1,2,card_declined,1
pay_test_443,12129,5,20,5,118081,0,2,card_declined,0
pay_test_444,91355,0,11,4,29320,0,0,network_error,1
pay_test_445,96521,3,5,6,130258,1,2,bank_error,1
pay_test_446,13794,3,18,10,199768,0,1,network_error,0
pay_test_447,4879,2,0,5,69453,0,0,expired_card,0
pay_test_448,49712,1,2,8,25406,1,4,bank_error,0
pay_test_449,92840,0,13,10,44253,1,1,insufficient_funds,1
pay_test_450,43897,1,6,6,183765,1,5,expired_card,0
pay_test_451,31635,0,1,6,150886,1,1,insufficient_funds,1
pay_test_452,1000,3,2,4,174544,1,1,insufficient_funds,0
pay_test_453,27625,1,20,4,22479,1,0,expired_card,0
pay_test_454,62227,3,8,1,169261,1,1,expired_card,1
pay_test_455,48918,1,14,0,70021,1,3,expired_card,1
